timestamp,name,cpu,mem_usage,mem_perc,net_io,block_io,pids
2026-02-13T16:35:21+01:00,api_gateway,0.78%,68.25MiB / 7.751GiB,0.86%,7.42MB / 6.31MB,19.3MB / 0B,3
2026-02-13T16:35:28+01:00,api_gateway,1.27%,68.25MiB / 7.751GiB,0.86%,7.45MB / 6.34MB,19.3MB / 0B,3
2026-02-13T16:35:34+01:00,api_gateway,1.21%,68.25MiB / 7.751GiB,0.86%,7.48MB / 6.38MB,19.3MB / 0B,3
2026-02-13T16:35:41+01:00,api_gateway,0.57%,68.25MiB / 7.751GiB,0.86%,7.51MB / 6.4MB,19.3MB / 0B,3
2026-02-13T16:35:47+01:00,api_gateway,0.19%,68.5MiB / 7.751GiB,0.86%,7.54MB / 6.43MB,19.3MB / 0B,3
2026-02-13T16:35:54+01:00,api_gateway,0.92%,68.25MiB / 7.751GiB,0.86%,7.58MB / 6.47MB,19.3MB / 0B,3
2026-02-13T16:36:00+01:00,api_gateway,0.85%,68.25MiB / 7.751GiB,0.86%,7.61MB / 6.5MB,19.3MB / 0B,3
2026-02-13T16:36:07+01:00,api_gateway,0.55%,68.25MiB / 7.751GiB,0.86%,7.63MB / 6.53MB,19.3MB / 0B,3
2026-02-13T16:36:13+01:00,api_gateway,1.74%,68.25MiB / 7.751GiB,0.86%,7.67MB / 6.57MB,19.3MB / 0B,3
2026-02-13T16:36:20+01:00,api_gateway,1.16%,68.25MiB / 7.751GiB,0.86%,7.7MB / 6.59MB,19.3MB / 0B,3
2026-02-13T16:36:27+01:00,api_gateway,0.53%,68.25MiB / 7.751GiB,0.86%,7.73MB / 6.62MB,19.3MB / 0B,3
2026-02-13T16:36:33+01:00,api_gateway,0.90%,68.25MiB / 7.751GiB,0.86%,7.76MB / 6.65MB,19.3MB / 0B,3
