api_gateway  | 2026-02-15T02:17:47.831145743Z [2026-02-15 02:17:47 +0000] [7] [INFO] Starting gunicorn 22.0.0
api_gateway  | 2026-02-15T02:17:47.831592504Z [2026-02-15 02:17:47 +0000] [7] [INFO] Listening at: http://0.0.0.0:8201 (7)
api_gateway  | 2026-02-15T02:17:47.831646726Z [2026-02-15 02:17:47 +0000] [7] [INFO] Using worker: uvicorn.workers.UvicornWorker
api_gateway  | 2026-02-15T02:17:47.841576514Z [2026-02-15 02:17:47 +0000] [8] [INFO] Booting worker with pid: 8
api_gateway  | 2026-02-15T02:17:48.802466594Z [2026-02-15 02:17:48 +0000] [8] [INFO] Started server process [8]
api_gateway  | 2026-02-15T02:17:48.802530705Z [2026-02-15 02:17:48 +0000] [8] [INFO] Waiting for application startup.
api_gateway  | 2026-02-15T02:17:48.829278579Z {"ts": "2026-02-15T02:17:48.828Z", "level": "INFO", "logger": "app.core.http_client", "msg": "HTTP clients ready: main(max_conn=30) camera(max_conn=20) ws_slots=30"}
api_gateway  | 2026-02-15T02:17:48.829626487Z {"ts": "2026-02-15T02:17:48.829Z", "level": "WARNING", "logger": "app.core.auth_client", "msg": "Token refresh failed (reason=startup): Hub configuration is not set", "reason": "startup"}
api_gateway  | 2026-02-15T02:17:48.872246406Z {"ts": "2026-02-15T02:17:48.871Z", "level": "INFO", "logger": "app.core.openapi_agg", "msg": "OpenAPI cache populated (128 paths)"}
api_gateway  | 2026-02-15T02:17:48.872696296Z [2026-02-15 02:17:48 +0000] [8] [INFO] Application startup complete.
api_gateway  | 2026-02-15T02:17:52.504319175Z {"ts": "2026-02-15T02:17:52.504Z", "level": "INFO", "logger": "app.routers.proxy_http", "msg": "GET /api/v1/robot/status -> http://192.168.1.10:8110/status 200", "request_id": "122e3e1b-5717-4a06-a1f0-7bffcd10c711", "method": "GET", "url": "http://192.168.1.10:8110/status", "status": 200}
api_gateway  | 2026-02-15T02:17:57.507665379Z {"ts": "2026-02-15T02:17:57.507Z", "level": "INFO", "logger": "app.routers.proxy_http", "msg": "GET /api/v1/robot/status -> http://192.168.1.10:8110/status 200", "request_id": "bc3ee4f4-1ca6-4804-896a-3cd70d2f69c0", "method": "GET", "url": "http://192.168.1.10:8110/status", "status": 200}
api_gateway  | 2026-02-15T02:18:02.539226503Z {"ts": "2026-02-15T02:18:02.539Z", "level": "INFO", "logger": "app.routers.proxy_http", "msg": "GET /api/v1/robot/status -> http://192.168.1.10:8110/status 200", "request_id": "cef8ca4a-5817-47b3-87b6-b2984899cae1", "method": "GET", "url": "http://192.168.1.10:8110/status", "status": 200}
api_gateway  | 2026-02-15T02:18:07.706576192Z {"ts": "2026-02-15T02:18:07.706Z", "level": "INFO", "logger": "app.routers.proxy_http", "msg": "GET /api/v1/robot/status -> http://192.168.1.10:8110/status 200", "request_id": "936ac6bc-efbd-4780-a571-74087044eba9", "method": "GET", "url": "http://192.168.1.10:8110/status", "status": 200}
api_gateway  | 2026-02-15T02:18:12.511030378Z {"ts": "2026-02-15T02:18:12.510Z", "level": "INFO", "logger": "app.routers.proxy_http", "msg": "GET /api/v1/robot/status -> http://192.168.1.10:8110/status 200", "request_id": "10131232-f645-4d0f-b741-b2567dcf25eb", "method": "GET", "url": "http://192.168.1.10:8110/status", "status": 200}
api_gateway  | 2026-02-15T02:18:17.521874239Z {"ts": "2026-02-15T02:18:17.521Z", "level": "INFO", "logger": "app.routers.proxy_http", "msg": "GET /api/v1/robot/status -> http://192.168.1.10:8110/status 200", "request_id": "d13783cd-b900-4e3c-8811-7687ce591db6", "method": "GET", "url": "http://192.168.1.10:8110/status", "status": 200}
api_gateway  | 2026-02-15T02:18:18.840380673Z {"ts": "2026-02-15T02:18:18.839Z", "level": "WARNING", "logger": "app.core.auth_client", "msg": "Token refresh failed (reason=loop): Hub configuration is not set", "reason": "loop"}
api_gateway  | 2026-02-15T02:18:22.501100978Z {"ts": "2026-02-15T02:18:22.500Z", "level": "INFO", "logger": "app.routers.proxy_http", "msg": "GET /api/v1/robot/status -> http://192.168.1.10:8110/status 200", "request_id": "479131c1-16cc-414a-bba8-928f82570239", "method": "GET", "url": "http://192.168.1.10:8110/status", "status": 200}
api_gateway  | 2026-02-15T02:18:27.519653485Z {"ts": "2026-02-15T02:18:27.519Z", "level": "INFO", "logger": "app.routers.proxy_http", "msg": "GET /api/v1/robot/status -> http://192.168.1.10:8110/status 200", "request_id": "33206ae5-75f5-4bb9-8fc9-0d11a5b5c17c", "method": "GET", "url": "http://192.168.1.10:8110/status", "status": 200}
